Hu%, Temp: 22.10 Celsius
Humidity: 47.30 %, Temp: 22.10 Celsius
Humidity: 46.40 %, Temp: 22.10 Celsius
Humidity: 45.90 %, Temp: 22.10 Celsius
Humidity: 45.50 %, Temp: 22.10 Celsius
Humidity: 45.20 %, Temp: 22.00 Celsius
Humidity: 45.60 %, Temp: 22.10 Celsius
Humidity: 45.50 %, Temp: 22.10 Celsius
Humidity: 45.80 %, Temp: 22.10 Celsius
Humidity: 46.10 %, Temp: 22.10 Celsius
Humidity: 46.00 %, Temp: 22.00 Celsius
Humidity: 45.60 %, Temp: 22.00 Celsius
Humidity: 45.30 %, Temp: 22.00 Celsius
Humidity: 45.30 %, Temp: 22.00 Celsius
Humidity: 45.70 %, Temp: 22.00 Celsius
Humidity: 45.30 %, Temp: 22.00 Celsius
Humidity: 44.70 %, Temp: 22.00 Celsius
Humidity: 45.00 %, Temp: 22.00 Celsius
Humidity: 44.80 %, Temp: 22.00 Celsius
Humidity: 45.70 %, Temp: 22.00 Celsius
Humidity: 46.00 %, Temp: 22.00 Celsius
Humidity: 46.50 %, Temp: 22.00 Celsius
Humidity: 46.80 %, Temp: 22.00 Celsius
Humidity: 46.90 %, Temp: 21.90 Celsius
Humidity: 46.70 %, Temp: 21.90 Celsius
Humidity: 46.50 %, Temp: 21.90 Celsius
Humidity: 46.80 %, Temp: 21.90 Celsius
Humidity: 46.80 %, Temp: 21.90 Celsius
Humidity: 47.10 %, Temp: 21.90 Celsius
Humidity: 47.20 %, Temp: 21.90 Celsius
Humidity: 46.90 %, Temp: 21.90 Celsius
Humidity: 46.40 %, Temp: 21.90 Celsius
Humidity: 46.30 %, Temp: 21.90 Celsius
Humidity: 46.10 %, Temp: 21.90 Celsius
Humidity: 46.00 %, Temp: 21.90 Celsius
Humidity: 46.30 %, Temp: 21.80 Celsius
Humidity: 47.20 %, Temp: 21.80 Celsius
Humidity: 47.20 %, Temp: 21.80 Celsius
Humidity: 47.30 %, Temp: 21.90 Celsius
